country_code,country_name,composite_rank,composite_burden_score,long_term_joint_burden_rank,long_term_joint_burden_score
NLD,Netherlands,1,1.334520,3,1.646438
GBR,United Kingdom,2,1.097678,21,0.843586
SYR,Syrian Arab Republic,3,1.029735,5,1.422220
CHE,Switzerland,4,0.985073,1,1.759337
PRT,Portugal,5,0.926791,4,1.536624
DEU,Germany,6,0.922829,10,1.171892
UKR,Ukraine,7,0.859566,9,1.221320
AUS,Australia,8,0.781976,15,0.969047
CAN,Canada,9,0.773174,60,0.253092
LTU,Lithuania,10,0.728734,2,1.738096
GRC,Greece,11,0.716017,27,0.744489
GRL,Greenland,12,0.674217,24,0.797856
IRL,Ireland,13,0.647527,18,0.920404
BEL,Belgium,14,0.635631,17,0.943672
LBN,Lebanon,15,0.634711,26,0.767484
LBY,Libya,16,0.631984,35,0.486060
ISL,Iceland,17,0.617502,14,0.974930
GUY,Guyana,18,0.590887,13,1.003383
URY,Uruguay,19,0.572991,31,0.664392
SWE,Sweden,20,0.520086,22,0.835408
CHL,Chile,21,0.494573,25,0.778496
ESP,Spain,22,0.492198,51,0.309816
MYS,Malaysia,23,0.491720,112,-0.194388
NZL,New Zealand,24,0.475453,11,1.150763
CYP,Cyprus,25,0.445095,57,0.260735
CAF,Central African Republic,26,0.434293,28,0.727289
TUN,Tunisia,27,0.429178,33,0.601893
PRY,Paraguay,28,0.428932,77,0.116231
TUR,"T\""urkiye",29,0.427601,46,0.349361
NOR,Norway,30,0.424690,23,0.817045
IND,India,31,0.418731,94,-0.075215
AND,Andorra,32,0.413329,49,0.322833
LSO,Lesotho,33,0.407169,64,0.217057
KOR,Republic of Korea,34,0.406339,47,0.341001
SWZ,Eswatini,35,0.399828,44,0.374247
ISR,Israel,36,0.399064,72,0.162261
USA,United States,37,0.397148,8,1.259936
SUR,Suriname,38,0.396158,29,0.680264
SMR,San Marino,39,0.391144,42,0.389684
IRN,Iran (Islamic Republic of),40,0.385647,19,0.908237
EGY,Egypt,41,0.370581,84,0.010330
BRA,Brazil,42,0.364940,12,1.096144
LUX,Luxembourg,43,0.362284,20,0.887404
IRQ,Iraq,44,0.355601,67,0.193747
KIR,Kiribati,45,0.346717,58,0.256455
RUS,Russian Federation,46,0.343617,6,1.336523
