country_code,country_name,continent,year,scenario,outcome,prediction,predicted_annual_change,map_code,baseline_2019,continuation_log_change,scenario_multiplier,continuation_prediction
AFG,AFGHANISTAN,Asia,2020,Trend continuation,Suicide,3.5082518188693714,-0.0200619511306285,AFG,3.52831377,-0.005702215160842989,1.0,3.5082518188693714
AGO,ANGOLA,Africa,2020,Trend continuation,Suicide,7.754650182763489,0.2341948747634887,AGO,7.520455308,0.030666004599975333,1.0,7.754650182763489
ALB,ALBANIA,Europe,2020,Trend continuation,Suicide,3.784537890223552,0.0011186752235516,ALB,3.783419215,0.00029563466498177583,1.0,3.784537890223552
AND,ANDORRA,Europe,2020,Trend continuation,Suicide,7.236713469028474,0.0368252396583557,AND,7.199888229370117,0.005101660390491319,1.0,7.236713469028473
ARE,UNITED ARAB EMIRATES,Asia,2020,Trend continuation,Suicide,2.4425062439854157,-0.0203378070145845,ARE,2.462844051,-0.008292139124151355,1.0,2.4425062439854157
ARG,ARGENTINA,South America,2020,Trend continuation,Suicide,9.321736205037478,0.0420629270374774,ARG,9.279673278,0.004522560375922153,1.0,9.321736205037478
ARM,ARMENIA,Asia,2020,Trend continuation,Suicide,2.622051350152752,-0.075291521847248,ARM,2.697342872,-0.02831019746851744,1.0,2.622051350152752
ASM,AMERICAN SAMOA,Oceania,2020,Trend continuation,Suicide,5.671931862831116,-0.0717009305953979,ASM,5.743632793426514,-0.012562124723728408,1.0,5.671931862831116
ATG,ANTIGUA AND BARBUDA,North America,2020,Trend continuation,Suicide,0.1595039367675781,0.1595039367675781,ATG,0.0,18.88757916181297,1.0,0.1595039367675781
AUS,AUSTRALIA,Oceania,2020,Trend continuation,Suicide,13.792719220633352,-0.1920538693666458,AUS,13.98477309,-0.013828241051535952,1.0,13.792719220633352
AUT,AUSTRIA,Europe,2020,Trend continuation,Suicide,14.685687985585878,0.1017105355858802,AUT,14.58397745,0.006949921939236582,1.0,14.68568798558588
AZE,AZERBAIJAN,Asia,2020,Trend continuation,Suicide,1.824311146041256,-0.008604384958744,AZE,1.832915531,-0.004705423860418979,1.0,1.824311146041256
BDI,BURUNDI,Africa,2020,Trend continuation,Suicide,6.864232049198257,-0.0171495378017425,BDI,6.881381587,-0.002495275533556836,1.0,6.864232049198257
BEL,BELGIUM,Europe,2020,Trend continuation,Suicide,17.84376013186409,-0.26663538813591,BEL,18.11039552,-0.014832236857942892,1.0,17.84376013186409
BEN,BENIN,Africa,2020,Trend continuation,Suicide,7.217178469397053,-0.0098934276029467,BEN,7.227071897,-0.0013698778266958498,1.0,7.217178469397053
BFA,BURKINA FASO,Africa,2020,Trend continuation,Suicide,8.414987706200034,-0.0320722497999668,BFA,8.447059956,-0.0038040799218447656,1.0,8.414987706200034
BGD,BANGLADESH,Asia,2020,Trend continuation,Suicide,3.079451967872231,-0.0013822091277688,BGD,3.080834177,-0.00044874835955942505,1.0,3.079451967872231
BGR,BULGARIA,Europe,2020,Trend continuation,Suicide,9.094029201345544,0.0727846473455429,BGR,9.021244554,0.008035764735492177,1.0,9.094029201345544
BHR,BAHRAIN,Asia,2020,Trend continuation,Suicide,5.3508030848219645,-0.0213692411780357,BHR,5.372172326,-0.003985697746801777,1.0,5.3508030848219645
BHS,BAHAMAS,North America,2020,Trend continuation,Suicide,3.6145339148040723,0.0059804148040711,BHS,3.6085535,0.0016559168752048636,1.0,3.614533914804072
BIH,BOSNIA AND HERZEGOVINA,Europe,2020,Trend continuation,Suicide,10.671896125551376,-0.2365905344486236,BIH,10.90848666,-0.021927323186599023,1.0,10.671896125551376
BLR,BELARUS,Europe,2020,Trend continuation,Suicide,17.111636679118806,-0.409094750881195,BLR,17.52073143,-0.023626093305331032,1.0,17.111636679118806
BLZ,BELIZE,North America,2020,Trend continuation,Suicide,5.123741771204059,0.1016928032040596,BLZ,5.022048968,0.020046975439901575,1.0,5.12374177120406
BMU,BERMUDA,North America,2020,Trend continuation,Suicide,4.695785745978355,-0.0719807296991348,BMU,4.76776647567749,-0.015212494453691128,1.0,4.695785745978355
BOL,BOLIVIA,South America,2020,Trend continuation,Suicide,5.297877111435902,-0.0504272505640983,BOL,5.348304362,-0.009473373682640503,1.0,5.297877111435902
BRA,BRAZIL,South America,2020,Trend continuation,Suicide,6.800233643032647,0.0924145430326461,BRA,6.7078191,0.01368309506361916,1.0,6.800233643032646
BRB,BARBADOS,North America,2020,Trend continuation,Suicide,4.665242572088448,-0.1330410689115524,BRB,4.798283641,-0.028118447925565053,1.0,4.665242572088448
BRN,BRUNEI,Asia,2020,Trend continuation,Suicide,2.4688006857306948,-0.0233455132693052,BRN,2.492146199,-0.009411786154392096,1.0,2.4688006857306948
BTN,BHUTAN,Asia,2020,Trend continuation,Suicide,4.86013634720977,0.0180620402097702,BTN,4.842074307,0.0037232877577044587,1.0,4.86013634720977
BWA,BOTSWANA,Africa,2020,Trend continuation,Suicide,8.818752240470527,-0.1674224585294723,BWA,8.986174699,-0.01880686102435917,1.0,8.818752240470527
CAF,CENTRAL AFRICAN REPUBLIC,Africa,2020,Trend continuation,Suicide,9.605633006840987,0.1511149108409881,CAF,9.454518096,0.015856965290108015,1.0,9.605633006840987
CAN,CANADA,North America,2020,Trend continuation,Suicide,12.790844485863076,0.1012668758630752,CAN,12.68957761,0.007948644544398968,1.0,12.790844485863076
CHE,SWITZERLAND,Europe,2020,Trend continuation,Suicide,14.196180657183469,-0.029991652816534,CHE,14.22617231,-0.002110427942600406,1.0,14.196180657183469
CHL,CHILE,South America,2020,Trend continuation,Suicide,9.758733984492387,-0.0098403925076127,CHL,9.768574377,-0.001007859676143768,1.0,9.758733984492387
CHN,CHINA,Asia,2020,Trend continuation,Suicide,8.754704462955958,0.0047546429559588,CHN,8.74994982,0.0005432432992999533,1.0,8.754704462955958
CIV,COTE D¡¯IVOIRE,Africa,2020,Trend continuation,Suicide,7.713419920585861,-0.0394296944141387,CIV,7.752849615,-0.00509880934731439,1.0,7.713419920585861
CMR,CAMEROON,Africa,2020,Trend continuation,Suicide,8.23792350203028,0.0139623610302805,CMR,8.223961141,0.0016963263540152069,1.0,8.23792350203028
