scenario,outcome,year,p25,median,mean,p75,n
Accelerated burden divergence,Anxiety,2019,0.0,0.0,0.0,0.0,200
Accelerated burden divergence,Anxiety,2020,0.20961711073567146,0.6987338492475459,0.616326970897502,1.3598983717710122,200
Accelerated burden divergence,Anxiety,2021,0.3446273818381085,1.3755252749426128,1.2071369254196176,2.82671438571544,200
Accelerated burden divergence,Anxiety,2022,0.44479670273770977,2.0260646448106767,1.812444662823371,4.296192023446399,200
Accelerated burden divergence,Anxiety,2023,0.6186482292843076,2.6317403379866655,2.4582122180853596,5.941222561855453,200
Accelerated burden divergence,Anxiety,2024,0.5958767328687331,3.177933064321359,3.154176098216249,7.486027171618343,200
Accelerated burden divergence,Anxiety,2025,0.7399069914496348,3.641971158459556,3.886779434207631,9.456075479549664,200
Accelerated burden divergence,Anxiety,2026,0.80566484864808,4.003944741605114,4.64112234709561,11.260823851569684,200
Accelerated burden divergence,Anxiety,2027,0.5944879123372937,4.41636369597862,5.391813203077114,12.900320859382047,200
Accelerated burden divergence,Anxiety,2028,0.4907044348478551,4.8210374310906134,6.115432936781673,14.530543592216821,200
Accelerated burden divergence,Anxiety,2029,0.017045136718329967,5.005017626963959,6.804475653520479,16.169894987079648,200
Accelerated burden divergence,Anxiety,2030,-0.28804677826340663,5.053336486222659,7.452882158684345,17.97072138732336,200
Accelerated burden divergence,Depression,2019,0.0,0.0,0.0,0.0,200
Accelerated burden divergence,Depression,2020,0.044374524649282154,0.6503905577248115,0.9439328745539156,1.431893673768042,200
Accelerated burden divergence,Depression,2021,0.3127185703697244,1.6765544559193102,1.8456316845403655,2.8906120968581526,200
Accelerated burden divergence,Depression,2022,0.7582212829916446,2.619493567536446,2.7112489501703876,4.21614186585903,200
Accelerated burden divergence,Depression,2023,1.3135547694633543,3.6483228948966495,3.5706073647361216,5.50792962907678,200
Accelerated burden divergence,Depression,2024,1.8650920325921416,4.4597755603628215,4.517060543930736,6.970010757451261,200
Accelerated burden divergence,Depression,2025,2.487765419648502,5.508669281640488,5.584391071965552,8.174300728897427,200
Accelerated burden divergence,Depression,2026,3.045618846652248,6.402926851756908,6.60150686595263,10.01647476994194,200
Accelerated burden divergence,Depression,2027,3.6009328464383374,7.674918405048247,7.617874289306933,11.63136606394531,200
Accelerated burden divergence,Depression,2028,3.7961043731698343,8.885598027419917,8.68325391910544,13.51409192884268,200
Accelerated burden divergence,Depression,2029,4.507521538636455,10.332866198426892,9.779619908198798,14.855260215888881,200
Accelerated burden divergence,Depression,2030,4.849767566573659,11.497941990794347,10.868433633574874,16.347346319645112,200
Accelerated burden divergence,Suicide,2019,0.0,0.0,0.0,0.0,199
Accelerated burden divergence,Suicide,2020,-1.9877839919946765,-0.3045630223557083,inf,0.8620982879996408,200
Accelerated burden divergence,Suicide,2021,-4.281226031755933,-1.1776071027994772,inf,0.7899406901662354,200
